,author,content,sentiment
32384,craftymamaof4,@LKnerl yes we must I had so much fun at SXSW with you guys  PJ party in my room,happiness
4399,andyarnolduk,@PortlandUK  Hope you don't get let down again.,worry
34425,yaramutiara,bye daddy!! see you on tuesday,sadness
11903,quantumspirits,I learned that people are very greedy when it comes to freebies.I left toys out for freecyclers and one person tried to take it all.,surprise
29579,ginaXnicole,@RachelxVacancy hi 80th fallower,happiness
35001,anJELLOca,"So I was just angrily told I was extemely abusive...mentally, emotionally, &amp; physically. It made my day.  Nightss.",sadness
29379,MichaelWFloyd,playing my new ds lite!    Love it!,love
9153,Pace_Collett,Somebody accidentely sleep for 3 hours instead of 2 and now I can't hang out  WORK BLOWS! sorry @andrew_jones20 and @schmidtfaced,worry
13021,nessalrobertson,"Just found out I want be able to go see my daddy tomorrow before he leaves because Ty has an activity tomorrow morning, that sucks",surprise
12292,joemsak,@leslie_pearlman  mow love mow,sadness
32980,nicolesnovicky,@erinnn_43 HAHHAHAH that really made me laugh out loudd! ahahahahahahahahah your fuunny!!,love
29944,LuckyRivera,@farwyde quite all right. cock sounds better than clock coming from a female anyway,fun
38464,fanxx,"@sylserra please let me know when you've found it  I'd like to know as well, although it's handy on your mobile...",neutral
30856,TheGrottoTweets,@OregonMJW Why can't you? Are you rooting for Ali in the Twitter war?,surprise
27631,jacalynrose,@iammandurr your'e a freak,neutral
29500,fallingupstairs,Oh how i love my family.,love
17003,CASE231,I got dropped froma coupla ppl that were following me  Damn Detroit Fans!!!,hate
39990,kdpaine,@shonali I think the lesson of the day is not to have luggage,neutral
39867,purple_lover_96,is so  just made a card 4 my mom!!   can't wait to see the smile on her face when she see's it!!,love
14207,BboyWicked,"Finally the school day ended, Friday Friday Friday w00t! But it's raining outside.",sadness
13471,LisaBrandos,@TwentyFour  what I said!    I'll have to think about it and try again!,neutral
1635,iwishiwas,"Holy shit it's super sunny, Friday and Whitsun, my tube is deeeesearted. Wish I was in the park  http://tinyurl.com/ns2l55",sadness
1226,maistro86,finally off to bed almost everything is packed gotta be up in about 6 hours to get ready for a double shift of work,worry
1008,bloodlusttypo,@Miss_Rain oh what the hell  way to tell me.,sadness
8866,ahitsCHRIS,@DKHOTOPIC aw,neutral
5477,filmfaker09,@eogasawa you looked great for being sick yesterday! i'm sorry I didn't really make an effort to say hi...  I was preoccupied for a while,worry
10445,LaTani,@Arian_A i have but you know it's not that easy..,surprise
16169,MilkNSilver,"I slept entirely too long on my nap, but not long enough at the same time.",neutral
7574,cbojo,@tinabojo Wish I was there!,enthusiasm
26131,aufaittrader,$RZ Hope so.  Time will tell.  Good luck   $$,neutral
33867,shabzcohelp,@appstoremod Mind telling me which book  cuz i was at barnes and nobles today and found 2 books that looked promising,enthusiasm
20342,Allyface,Ah. Bank holiday morning...reading Elle in bed and getting excited for a roast dinner in Sheering later,happiness
31411,abbeyallen,Finally off work!!!,happiness
29704,thusmuffinmoose,@Sarah_LeAnn if it makes you feel better im studying on a sat night w/o blackberries,happiness
17531,Glittergirl18,sorry my bad.,worry
11321,Bhooshan,"@knayam need some more enthu movie guys for that. Right now it's just you, @karmkhanna and @_Anshul",boredom
30801,Diosce,@talindab http://twitpic.com/4w483 you guys look so nice,neutral
34130,vavroom,"@linuxluver I read for pure escapism. Don't make me think, take me away  non-fiction tends not to achieve that, for some strange reason",surprise
16303,apunbindaas,@SodaKan sorry to hear about the wait list,sadness
34298,sarahmarche,I just received a mothers day card from my lovely daughter wishing my a happy mothers day  http://tr.im/kWK9,love
13088,rushme2112,Moment over.... fly now in car,love
10962,LaurenGrogan,I have no friends,sadness
19046,Emily1488,Boo Im lonely and bored,empty
15705,faulko1,right im out of here peeps.. i hope @twitter fixes twitter mobile so i can tweet from the race.. m.twitter has been down for 4 days  #fail,worry
24223,tsarnick,"@MissxMarisa haha what can i say, you're a great teacher!! you learned from the best... Hannah Montana",surprise
36819,bree_gee,happy mothers day,happiness
15101,mhillmann,cleaning and packing. Moving house is shit. It's going to be a long weekend....,hate
20712,RICKYMATHENIA,Enjoying time with the g/f,love
36273,kathleenparkerb,@ChrystinaGrace Chrystina Grace Timberlake has a ring to it!,neutral
14412,MaverickNY,@asco will the presentations be available online during the meeting?  The poster discussants are going so fast I can't write fast enough,worry
34373,fr3dbaker,@MattCundill Haha! At the Somerset theatre in Ottawa. I remember that well. The more things change the more they stay the same,surprise
26195,Smile_Hunt,@radha_ They were some nice Pics you have kept  there.. you seem to carry your Cam around along with you..,neutral
16969,whatEVzz,i think the food i ate made me sick.. i no feel so good,worry
36987,jeffdoug2,Sitting down for a nice English breakfast. The one meal they do right,relief
26592,sammythewizzy,@medscholar08 thanks.. but im not sure im comfortable with such a sudden surge.. will be difficult to keep in touch with every1..,worry
12337,MellowDownEasyx,"@jennifalconer I haven't heard Greg before I'm scared , I've heard he's rather freaky  x",worry
15423,saudiwannabe,Subhana Allah... I got scare told you i started having anxiety,worry
22363,maryeltakchi,I'm going to open up PROVERBS and get as much wisdom as possible-I'm hungry!,relief
17366,MCRmuffin,@Rorzshach  *hugs*,love
17026,MCipp26,in desperate need of some tweets to cheer me up,sadness
20415,jem6782,@Ryanimay Welcome home!  Glad you made it home safe!,relief
3714,DateMeCT,"@nawty I've been well, thx. Just getting up for an early morning meeting and wondering why I agreed to it. Don't like getting up early",neutral
35387,nigs,@JasonBradbury Have a great Sunday wit the kids and Mickey,love
20560,worksanddays,"@zombiegrrl99 thanks, i feel a lot better now.. but it hurt like hell!!!  good luck with the lousy student writing.",relief
4003,medaox08,I'm a fat and sad puffyn now,worry
3560,tolranet,"sigh, still SEOs are submitting their client sites with part or no contact information on, I really don't know how to make them read",worry
5139,lucychan,My mother is taking Gambit to the vet today. I hope it's nothing too serious.,worry
18695,ashleybird21,Wake Up..... Please.,worry
18633,_Jellybox,night night twits! im so glad I will be waking up to a saturday off work!! printer has broke though,happiness
15097,Beetledriver,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",hate
18143,efgraham0921,@mitchelmusso i'm about to have to hang up   my fone is getting to hot,worry
7924,chelibasa,"@inlovewitharmy What timeeee? My mom says I have to do something daw tomorrow, eh. But we're never compelte!",sadness
20348,sepiaverse,"@ShalG  aaah k..am like a fan incarnated,so kinda like a mutant. till date, Ghalib has never *yet* left my questions unanswered",worry
20335,eieip,chatting with the bestest...,neutral
243,Mrs_Jackman,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",worry
33188,Goldenkiwi12,@imfunsizee and jarita i'm going home now and i'm with two hot guys  drool.,sadness
12702,msexclusice09,Mad because quiz 5 answer on the BET Ford Fusion sweepstakes are all wrong,hate
21212,GeorgeGuerra,@TangeloFlavored and no I didn't burn the eggs.  We had a blast and the food was great all weekend. We had an awesome carne asada too.,relief
18604,Leopard_Print_F,damn...plans were canceled.....another friday night at home,sadness
35532,Leedengman,social was fun. Swam in the water in my boxers,happiness
22818,_sammyrockett,Is in starbucks,happiness
1859,Fluffy_Cupycake,you ever come across something that reminds you alot of the one person that completely broke your heart? cause i just did,sadness
10671,thatssowilma,CAKE is sold out at terminal 5,empty
18699,Mellogirl123,wants to hear his voice,sadness
9293,crystalthediva,@KINGDINGALING_1  @wendi916 is leavin bc of racists *starts cryin*,sadness
3989,jamesy_duh,wants to smoke a cig but doesn't have a lighter.,love
10650,H2oShy,@mileycyrus AHHHH!!!! Voting is closed for your categories!!!  I would have voted for you in them though!  I tried.,sadness
31840,MaricruzRamirez,Two words: hot pockets. Most delcious food ever created,love
10915,jsizzl,to start shit or leave shit alone...tough decision,worry
6148,ItSMeKeNyaDoLL,@CashCapone now cash u kno I'm not a hater.....jus upset I don't have my update yet,neutral
26446,sweet_yoshi,I saw nomes on twitter  but I'm still not waking up,worry
30243,missdestructo,"@mahamimo Thank you! Your makeup art is top-notch, come to my house every morning! ha ha",happiness
12564,AshasMom,I've experienced apathy over empathy in customer service situations too many times recently.,sadness
31020,soashleysaid,So's your face,neutral
19550,tsjohns,"1.2 mile run and 450 meter swim, things are looking better and better... Laying off the bike today",happiness
26635,Naimii,@Nawarii22 ur welcome  u finished ur speech (typed it and written notes),enthusiasm
15694,joypcohen,Headache.  Very. Large. Headache.  A little dizzy and feel ill too.    Yucky.,worry
5416,jessjardine,@EAZY_ERON Effy breaks my heart.,worry
2908,Dmoney424,Wow.....I've been stood up  Might as well go to work.,worry
3294,amy__xx,@Reynolds_x all three are in the first 2 weeks of june for me,neutral
16248,icestar13,@mitchelmusso how do you call that number from the UK ??  I really want to call u but I don't know how to  xxxxxx,neutral
26859,AmericanYard,"@erinbarna its definitely coming, hope ur ready!",neutral
37791,gosub3000,"Catching up on holiday expenses, and two weeks of Gift Grub",neutral
7495,sazprominence,"waiting for aaron to get into town, and then leave him for work. booo",sadness
7022,dawgs52,"yeah one burrito did not taste like the other, there was no avocado ranch sauce",neutral
34201,KennanM,@lakersnation a celtics-lakers rematch sounds better don't you think? lol,love
7103,LittleRiotGrrl,wish i can be with her every day,love
3496,GiselledelaCruz,i wish i could of been at commencement this yr  i wonder if they're really going to protest.,worry
2449,Beth_Walker,Morning tweeple! I'm a bit sneezy today,worry
27955,Caitt_Stargirl,Got some new clothes  and series one of supernatural on dvd,neutral
28421,setxtweetup,@mickster09 You don't have to rub it in.,sadness
4524,Blender93,I tell him today! :S it's his last day,worry
18846,TaliaEsq,@RealGrace my @Bonnaroo tix are in limbo....as usual  #UPSsucks,worry
27593,nathanryder,@psuedonym Alternatively you could spend the afternoon reading &quot;Pride and Prejudice and Zombies&quot;,fun
5547,LaurettaVR,it's raining..,sadness
26281,kkimmydaviss,@margaretcho learn two-headed boy by nutreal milk hotel,neutral
18451,19fischi75,@Impala_Guy Would luv to hear music too but iï¿½m out of batteries - the tv plays besides but i think this is some kind of vampire movie,sadness
24629,xashfontttx06,Last day of high school!,fun
25084,charlottesnel,@lisa_d Zwarte maillot,empty
33661,kaylaphlegar,my life is so exhilerating  family kingdom is such a good summer sport!!! and so is swimming in the ocean at night with kristin,happiness
5514,rlyneMARIE,just got home from school and from the wake of my friend's father.  so tired..,sadness
1406,wolfcat,@franksting yeah... it is very very dry down here,sadness
24106,muchlovee,supernatural tonight  yay,happiness
3637,Psydragonfly,Good morning from RSA Twitterverse!! Please send me some happy vibes &amp; cheerfulness today I'm feeling a little sad,happiness
32120,AClockworkToad,@kluless65 I am doing fantastic JJJ!  You? Doing your questions already? teacher's pet!!,happiness
18527,blisterish,really sick and tired but my body's resisting rest!,sadness
4759,lenasaur,Really nervous about my animal rights presentation next period,worry
22154,Apziie_xo,@Punisher5643 You Got Twitter Yayy  xxx,happiness
22405,uvbkishore,First time to Twitter..,neutral
17649,rjurney,Working on something exciting... and I cannot tweet about it for several months,worry
34995,AbeerforBill,@NotetoShells yes it does,neutral
10455,wearingmascara,Tonight is my last night in my apartment...,sadness
36561,kirstlovesdelta,@jobondi Awsome thanks Jo...Can't wait for her to be on  xx,happiness
37469,OC_GirL,@jmarie7481 http://twitpic.com/4vvou - Ok...I LOVE IT!! Melika come on do your make-up like this next time we go out,love
11788,squil,no #thedailyshow this week,sadness
5317,bizziefan,@musical_musings Good morning!  It is raining here,surprise
7080,Akakudos,"Well poop, my guitar lesson was canceled today  I'm so sad. I hope his son feels better soon tho.",sadness
22213,phuturatica,"@13twelve Hai there, who are you?",neutral
36482,carekoba,surprisingly liked Star Trek (contrary to the theory that star wars fans are anti trekkies),surprise
2536,elliotcoach,nt online &amp; mayb next week  if u havent voted pls do: http://bit.ly/hHigd,worry
14920,cassiebabycakes,@HalfDeadPrince i always wants those.. but i would look really dumb!,worry
7118,adrienne1022,@vanessathomas ugh some stupid teenagers just showed up. My peaceful time is over,worry
4716,ladylogan,"@SuFiSammy praying you get better soon you sweet one , sorry your still not well",worry
17498,jeess_,@TheKellanLutz OMG i want to go too!  hahaha,happiness
6872,judymunoz,I think at this rate.. Ill be in class until 4... Sigh.,worry
14045,alecialudwick,@beherenw lol must contribute to the destruction of language...awww,worry
5472,Hammonassett,is wondering why no one else is following it....  C'mon people!,worry
23313,jezhiggins,@phil_nash Ba-dum-tish!  You win,surprise
34604,krystal_21,so bryan was at the sweet 15 and i didnt think we were gonna talk but towards the end of the night we talked,happiness
26599,WerewolfWhite,#Happy Stars Wars day....Me's a JA-JA BINKS ha  A crappy day outside though ah well makes me have a bit more motivation to revise,happiness
14603,wcvm,@Drlebron - Welcome to Minnesoooooooota. Free up some time this trip to catch up! Won't be at Cliquot Club though; they closed,happiness
7917,OrangeAndBlackk,"Oh god, I want to blow up my tooth. It hurts.",hate
24381,MrsLovettesPies,@santoscarmen that's a lot of mangoes.. haha  baka naglilihi ka ahh?? haha  joke lang carmen,happiness
13226,alysssaaisgreat,@chelseasms it's not sooo noticable it depends on how you look at it...but I know it's there and now my iPod isn't perfect,worry
22158,kesoo,is happy that tiff can't drop BIO so she can suffer with me  nyayhahahah!,happiness
20314,pumpkinspicy,watching a movie and rocking my baby kitty who is asleep in my sling hanging from my neck. So cute,happiness
32539,BUTTERFLYWHEEL,"Welcome aboard to 5 new followers  Thanks, I'm honored.",happiness
10174,Lyricist_Juice,"@qdakid Q, i dont get love anymore  ?",sadness
34053,reeselloyd,Chilling with Colton who just redesigned the Cocktail Hacker card backs for me.,surprise
26731,nahhchillkiddd,"Just woke up and washed up, I have class @ 10 till 11 then chillin in G Building with my nigguhs. Then my bby is coming over @ 3:30!  ilh?",neutral
38869,Camissa,Just woke from the longest sleep in months-so nice! Now to get some work done so i'm prepped for next wk &amp; free for K coming home tonight,neutral
25648,craig88,"@craigralph If you've jailbroken or went to 3.0 early, prepare to be bricked",neutral
27287,Gallagher1025,"Working, Listening to music,Testing out a new singer/guitarist tonight, let's hope for the best",happiness
25554,tantamani,"@invalid_reality morning trish, have fun today",neutral
27201,Reginavalliana,Feel sorry for Adam Cook. Be strong for David and family,worry
31736,macytheresa,says she wants to be w/ marykay @ sendai right now,enthusiasm
29764,jgallo049,"@denisev3 it was a biligual sweatshop LOL I talk 2 him once in a while but not as much, he got an r6",happiness
30120,gregliotta,"Thinking about my mother, and all the amazing mothers I know",love
19289,SerenityWalk,Time for my ritualistic Friday night depression,worry
31268,darjeelingtea,@DC_VulcanRaven thanks again,relief
31098,MarjorieHdez,at the yard house,neutral
39105,jarrelt,@astrylnaut yeah talking to you was too boring,boredom
27238,karma_musings,@donnapaul I like that term &quot;today list&quot; - better than &quot;to-do list&quot;,neutral
16808,mcrfash1,@chinaablue,neutral
29080,Irish_Faerie2,Karaoke at a small town bar. Having a wonderful time!,happiness
19378,DanniBaker,just dropped my biscuit in my tea,neutral
6455,AllCall747,Back is SORE... should not have done that jump last night,worry
1923,jasongaunt,"I spent my free time over the last few days converting my server to 64bit, getting VT-x working etc just to get something to run. No Luck",empty
8478,MiseryXchord,"I want to shoot Viva Hate... this is only the second time since I got my new camera I've had a chance, and the other was pitch black",hate
26138,craig88,@djsteeley I think it's less of a tribute and more of a parody.,sadness
31303,Blanquis26,@billzucker thanks will try to behave,neutral
18250,allysajoyce,"I REALLY WANT TO GO TO artesia , cerritos on sunday for QUEST! LOL. imma die if i dont",enthusiasm
13583,mellisalamay,@Molltini ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.,relief
8014,jdl0301,"Twenty20 cricket, beer and sunshine very good. Well apart from the beer cause i'm on tablets!",worry
4614,zangelle1,Chirstina said shes gunna twitter more ...no more partners,relief
4109,iJeremy,I cut my thumb on a broken coffee pot.,worry
17697,mkcho73,"longest flight EVER. not particularly unpleasant or uncomfortable, just really really long",boredom
24141,_tan_,Another HD - my lecturer was gob smacked by how good our presentation was,happiness
6355,gillianwalsh,"@MareBear2534 I know dude, i'm doing re-runs, making Jenny watch them now too so we can have conversations LOL.  Haven't been online much",relief
14682,lnjen,gymnastics time.  My last night for teaching Friday evening classes.   New summer schedule starts next week.,neutral
20135,praksh,@akarshsimha: Started using the branch,neutral
33161,LMRB,"@LindzluvsNKOTB I'm not going on the cruise. Wish I was, but I'm just going on vacation. Thanks though",happiness
34666,omgitsnikki,@souljaboytellem SHOUT OUT TO NIKKI....PLEASSSEEE   (Soulja Boy Tell 'Em LIVE live &gt; http://ustre.am/2UhS),fun
8292,jlevinrector,South of the Border! And officially out of South Carolina until January,neutral
16684,pandjcrafts,"@liddesigns oh no, sorry to hear abt Firefox crashing on you.",sadness
12110,nhhorton,Mower shopping,sadness
10398,ChuckBone,@NewJourney09 Hey! How u feeling? I know Charla hit me to see there were any places she can go..too young  Did she have fun?,neutral
33143,estrella_bby,this is how we do itttt,sadness
22306,carinacani,@miarav Wanna come with?  Before we go to Myka's party.,neutral
4121,adantes326,Ahh ! I just woke up.  forgot to reset my alarm clock.,neutral
37465,ithinkifarted,i learnt something new today,happiness
33554,RocsiBoo92,Bout to go to bed... Happy Mother's Day ladies .... especially all th 1s who takin care of thier kids alone..n I Love U Momma,love
17832,bkbkbk,@DelbertShoopman Good luck with the footage - none of the stations are breaking in live with it,happiness
7075,rbrouwer,@wilstobbart I'm still at work,hate
2033,Broooooke_,its taking foreverrr for @jess_0000 to get here  im bored..,sadness
33971,alexdreamz,@juliepilat great show,happiness
21935,Nadineee,@Petaah hahaha we just won't tell him will we?,neutral
9771,som1kewl,No 10th  2 months=],happiness
26576,mikezielinski,@ohheyness happy birthday ness!!,neutral
685,Mr_Krypton,Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer,neutral
4375,CoachChic,"Morning, all!  And, since I only have a few more days to move, I won't be able to stay long...",neutral
20279,ivylovemusic,I'm glad that I called him cause our relationship is clear now. Just happy to hear his voices eventhough he's absent from school,love
19976,mlthompson4457,@jmallen1012 aww i'm sorry   glad mommy took care of you. erin is in for some fun if there's a bug on you in colorado,relief
22510,Rosieomalley,@taylorswift13 that video was funny  i'm just signing up now and i'll vote for you!!  x,love
32084,ucfbri,"Although Wolverine wasn't a great movie, I don't think it was as bad as everyone is saying...&amp; at least Taylor Kitsch was in it",neutral
14976,indecisions,"Not going to graduation, hubby-to-be not feeling well  so instead, doing more job hunting online!",sadness
35020,sparklyperson,@amber_benson thanks for the message! been a fan since forever; actually met you back in '03. So glad I stumbled upon your twitter,happiness
32260,x01jess17x,"finals tuesday and thursday, home friday",neutral
23976,aramc,@Rapetzel Haha! Thanks! It's the inane grin from grading. Some students have been really fascinating this semester,love
8344,simongiesen,"Is feeling sick, probably a summer flu",worry
9517,Demonol,"Very happy that @pricy landed safely, I miss her already  http://myloc.me/205R",love
7136,autolovebug,i miss her ..... i hope she comes back,worry
19110,organicBublegum,Im lonely werkin,neutral
6248,BARACKOKITTY,I feel like shit cause I couldnt sleep last night and went to sleep at 320 n bk up at 6  soooo tired!!!,worry
27080,KristaConnects,"@zacjones13 why, hello there  How's life on the other side of the screen?",neutral
6744,katyaxoxo,"@Ana_Surprise its soooo funny! thanks or today. btw, lebron harassed me",fun
7850,AquaFig,GrimeStopper loss  client lost their job so we did too. Hope the quote later today turns into more work. Drowned my sorrows w a huge h ...,sadness
2375,LeylaScaparone,WANTS TO GO TO SLEEP WITH THE SOUND OF THE RAIN,neutral
27664,charleypearson,going to hannah movie @ 6.30,neutral
3517,iphonetalktoday,Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why... http://bit.ly/etB8H,worry
18340,Neethood,@ESQUIRE8 OMG I am @ the hair salon. *tears*  I hope I get out of here soon. We watching the Real House wives of NYC in here.,love
34696,PsychoTank,Happy Mothers day  with my boy of the doom! (my dog xD),love
9774,MelissaPR,@AYoungOne Yep that one works. I LOVE Potbelly but I can't get it in AZ  Have to wait for my Chi-town trips @PotbellySdchWks,love
22022,KronistheiLL,@SinnamonS gotta play 'Off the Wall' first tho,neutral
12800,GreenFreakii,in Mallorca. Want to play guitar   When i come home I'm going to buy the mcfly dvd first :]],happiness
17982,Kat_xox,I hate not getting e-mail's  going to do other stuff now...ice my toe (long story) and have some calpol (cold :S) soooo night xxxx,relief
34953,Spirit_of_Mars,"@SpicyBev yep, itï¿½s Mothers Day here as well but me and my family ignore it!  weï¿½re celebrating it EVERY day ... LOL",sadness
2361,jeninacastillo,Oh my gosh! My hair is so short! I miss my long hair!,surprise
3480,mrsfilan2,"@filanfurball sorry bout 2day  bloody typical,goin 4 a laydown now feel sick again,ooo this not nice x",worry
6758,andrewburgess,I can't eat a hot pocket anymore without thinking about Jim Gaffigan,worry
19496,rachelkarhnak,"Coming to the end of a looooong day. Good new is, I got everything done! Bad news- I gotta wake up @ 4:45am tomorrow for work!",worry
21063,sofe_,http://twitpic.com/4ja12 - we were bored,worry
22008,putrimaria,@rizkyinayati heeeey good luck for unair sweet!,worry
1336,gorguz_georgie,"i have the biggest headache right now, i washed my hair wif mum's shampoo and now it's gross  i like my shampoo way better",happiness
21127,elizamcnab,just watched slumdog millionaire  its soo goood i love it :] but its sad!,sadness
18162,BootyParlorDiva,"@jeanettesanchez lucky you, all we've had is rain in the city today  enjoy! ;)",happiness
19983,AndreanneMB,Can't find any pictures  !!!,worry
18969,Alkar,@norasake Sadly no. It didn't come with one...,sadness
2201,Miriam_met2xi,Back at work.....too much email in my inbox....,surprise
31644,kelsadilla,@caroldee77 haha I know.  Sorry about all the typos in that last tweet...blehhh.  ps - Because I Said So is sucha cute movie..  awww,surprise
14634,Piewacket1,@Sandy_B_ Shes bad they won't sort her out and is in a lot of pain,sadness
26455,TheyCallMeMissy,"@dannywood I guessed right, like 25 minutes ago...do you even see your replies....lol",worry
37926,judez_xo,@ponny rofl! we aren't wearing dark grungy though! I asked bradie if it was ok he said yess,neutral
4982,shankargan,@sapauljoseph me too  chrome's popup blocker is better,neutral
10657,CR8D2XL,@Rckstar53 Why I gotta be all that?... I sad now,sadness
1655,histapleface,I have to goto work now ahhh kill me  my life isn't going the way I want it too atm. Ta ta kids x,worry
38485,RasaJustBeingMe,Looking for new picture for my twitter background@  HELP little here!!,neutral
11667,JB59_725,"@mileycyrus I'M A JUMP OFF A BRIDGE... NOT REALLY, BUT I WANT TO VOTE  TELL THEM TO FIX IT, JUST 2 MORE DAYS YOU NEED TO WIN",neutral
39680,designwashere,Happy Mothers Day to all your moms!,neutral
14197,_magic8ball,@djmo27 Don't count on it,neutral
9137,jija21,@jpaola no money no honey! hehe too soon  sorry,sadness
20091,PalabricaC,good job!,happiness
31338,lucasnap,Happy mothers day in 25 minutes everyone,love
177,miiiiiiike,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",worry
22021,jennynny,@kenlee86 nice recolouring of your page  nobody is buying your anti-twittering words!! YOU LOVE IT!!!!,happiness
18788,vincent_ryan,@knw3 I watched it all online. http://www.musicistheheartofoursoul.com/search/label/Niptuck has the last 8 episodes of S5,worry
20816,Jukes,"Cape Town is beautiful! Sun is shining, amazing landscape and everything is &quot;easy going&quot;!",fun
20596,BadgerWXman,Storm system that looked to bring us rain today is going to miss us,sadness
